Occupant UID,Chore UID,Rank
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,1,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,2,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,3,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,4,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,5,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,6,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,7,1
d6e3c2aa-7d7e-46c1-a495-833a3737a8e2,8,1
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,1,0
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,2,2
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,3,1
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,4,2
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,5,1
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,6,2
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,7,1
69e1abad-b8a2-4c2a-866f-ef9dafd3686f,8,2
