Chore ID,Chore Name,Description,Category,Expected Duration,Status,Assignee ID,Deadline Date,Frequency,Completion Date
49d3382c-5e66-4d8f-869c-444ccb80ebbb,Wash Dishes,Throw them in the dishwasher,,15,unassigned,,2024-03-15,7,
bfca00c1-9bc1-47e5-b5f7-6f13363f000d,Feed the Cats,They hunger,,5,unassigned,,2024-03-13,1,
54f5001b-ee6a-488d-a2a1-bb705db64b23,Vacuum Living Room,Make sure to get under the coffee table,,15,unassigned,,2024-03-14,4,
f37d9635-dbc4-4edf-b11c-7dcbcbb09a53,Take out the Trash,Don't forget to replace the bag,,5,unassigned,,2024-03-15,7,
f83c0871-f82d-4003-a3a0-925ccac08255,Water the Plants,Don't drown them,,5,unassigned,,2024-03-16,7,
2e4c32d5-0f8e-40c9-bb0f-917a2dd1a1ea,Clean the Bathroom,Don't forget the toilet,,30,unassigned,,2024-03-15,7,
851bf743-8cf1-4070-9135-2f9b6bab15b6,Defrost the Freezer,Don't let the ice build up,,30,unassigned,,2024-03-15,60,
5144fd69-02cd-4ad3-a03e-2b805092799c,Clean the Fridge,Don't forget the expired food,,30,unassigned,,2024-03-11,60,
54410823-6e60-47d6-af0f-afe4c1f33f11,Fight off the door-to-door salesman,Be vaguely threatening,,5,unassigned,,2024-03-15,7,
aab841e6-37cd-48a6-95f3-b7779dd122d1,Fix the leaky faucet,Try not to make it worse,,30,unassigned,,2024-03-13,0,
56dd2805-85bb-49de-80eb-8c49ea2a9620,Call about the WiFi router,Don't let them upsell you,,5,unassigned,,2024-03-13,0,
ea28ad43-1fcc-4789-bb08-30ec24a4a2d6,Reticulate the Splines,Also splinate the reticules (if time allows),,5,unassigned,,2024-03-14,0,
9e19f560-1195-4811-a0eb-8a4517579ae0,Rake the Leaves,Bag them too,,30,unassigned,,2024-03-14,7,
d9d8a316-75e2-4c13-ab54-3daf015bd7e6,Dust the Furniture,Bookshelves too,,15,unassigned,,2024-03-14,7,
